,date,hour,energy_kWh
799,2015-04-28,7,1.665
800,2015-04-28,8,1.23
801,2015-04-28,9,1.32
802,2015-04-28,10,0.705
803,2015-04-28,11,0.745
804,2015-04-28,12,0.89
805,2015-04-28,13,0.875
806,2015-04-28,14,0.6799999999999999
807,2015-04-28,15,0.635
808,2015-04-28,16,0.63
809,2015-04-28,17,0.94
810,2015-04-28,18,2.69
811,2015-04-28,19,1.43
812,2015-04-28,20,1.13
813,2015-04-28,21,0.89
814,2015-04-28,22,1.31
815,2015-04-28,23,1.07
816,2015-04-29,0,0.26
817,2015-04-29,1,0.71
818,2015-04-29,2,0.71
819,2015-04-29,3,0.82
820,2015-04-29,4,0.68
821,2015-04-29,5,0.62
822,2015-04-29,6,0.89
823,2015-04-29,7,1.51
824,2015-04-29,8,1.37
825,2015-04-29,9,1.3
826,2015-04-29,10,0.45
827,2015-04-29,11,0.66
828,2015-04-29,12,0.74
829,2015-04-29,13,0.67
830,2015-04-29,14,0.61
831,2015-04-29,15,0.48
832,2015-04-29,16,1.07
833,2015-04-29,17,1.11
834,2015-04-29,18,2.61
835,2015-04-29,19,1.48
836,2015-04-29,20,1.86
837,2015-04-29,21,4.14
838,2015-04-29,22,1.26
839,2015-04-29,23,0.99
840,2015-04-30,0,0.46
841,2015-04-30,1,0.62
842,2015-04-30,2,0.79
843,2015-04-30,3,0.88
844,2015-04-30,4,0.69
845,2015-04-30,5,0.62
846,2015-04-30,6,1.02
847,2015-04-30,7,2.06
848,2015-04-30,8,0.97
849,2015-04-30,9,0.54
850,2015-04-30,10,0.74
851,2015-04-30,11,0.8
852,2015-04-30,12,0.86
853,2015-04-30,13,0.74
854,2015-04-30,14,0.97
855,2015-04-30,15,0.7
856,2015-04-30,16,1.22
857,2015-04-30,17,1.98
858,2015-04-30,18,2.13
859,2015-04-30,19,1.46
860,2015-04-30,20,1.62
861,2015-04-30,21,1.62
862,2015-04-30,22,1.18
863,2015-04-30,23,1.7
864,2015-05-01,0,1.12
865,2015-05-01,1,0.7
866,2015-05-01,2,0.78
867,2015-05-01,3,0.78
868,2015-05-01,4,0.85
869,2015-05-01,5,0.74
870,2015-05-01,6,0.83
871,2015-05-01,7,3.01
872,2015-05-01,8,1.07
873,2015-05-01,9,0.95
874,2015-05-01,10,1.74
875,2015-05-01,11,0.81
876,2015-05-01,12,0.36
877,2015-05-01,13,1.15
878,2015-05-01,14,1.23
879,2015-05-01,15,0.2
880,2015-05-01,16,0.74
881,2015-05-01,17,0.83
882,2015-05-01,18,2.25
883,2015-05-01,19,1.25
884,2015-05-01,20,1.03
885,2015-05-01,21,1.41
886,2015-05-01,22,1.31
887,2015-05-01,23,1.17
888,2015-05-02,0,0.9
889,2015-05-02,1,0.84
890,2015-05-02,2,0.81
891,2015-05-02,3,0.81
892,2015-05-02,4,0.85
893,2015-05-02,5,0.89
894,2015-05-02,6,0.82
895,2015-05-02,7,0.95
896,2015-05-02,8,1.28
897,2015-05-02,9,1.17
898,2015-05-02,10,1.31
899,2015-05-02,11,1.26
900,2015-05-02,12,1.35
901,2015-05-02,13,1.89
902,2015-05-02,14,1.47
903,2015-05-02,15,0.65
904,2015-05-02,16,0.96
905,2015-05-02,17,0.58
906,2015-05-02,18,0.66
907,2015-05-02,19,1.07
908,2015-05-02,20,0.72
909,2015-05-02,21,1.15
910,2015-05-02,22,1.09
911,2015-05-02,23,1.3
912,2015-05-03,0,0.82
913,2015-05-03,1,0.84
914,2015-05-03,2,0.66
915,2015-05-03,3,0.83
916,2015-05-03,4,0.7
917,2015-05-03,5,0.76
918,2015-05-03,6,0.77
919,2015-05-03,7,0.8
920,2015-05-03,8,1.11
921,2015-05-03,9,0.87
922,2015-05-03,10,0.79
923,2015-05-03,11,1.32
924,2015-05-03,12,0.85
925,2015-05-03,13,1.2
926,2015-05-03,14,1.18
